GrPetYear,pe,pb,peg,shr,revenue,opInm,eps,Assets,Equity,bvps,ROtA,5ROtA,10ROtA,bad5y,bad10y,Industrial,cur,old
000038.SZ,2.07,0.11,-0.0,14.51,30.47,22.85,,18.91,34.4,30.04,,-25.55,-10.23,2.0,3.0,,CNY,2012
000060.KS,8.33,9.74,0.17,2.32,9.17,16.73,12.99,13.78,11.45,11.19,,1.64,1.49,0.0,0.0,,KRW,2012
000502.SZ,-4.9,0.69,0.49,-0.29,20.03,1.73,8.01,1.57,-2.16,-2.17,,0.08,-2.19,3.0,5.0,,CNY,2012
000585.SZ,18.18,-1.89,-0.25,-2.18,-10.05,6.35,7.58,-9.93,,,,11.98,-12.29,2.0,3.0,,CNY,2012
000587.SZ,-23.81,26.05,0.01,7.46,-37.08,17.27,,-6.27,,,,-46.33,-18.36,2.0,3.0,,CNY,2012
000611.SZ,-14.43,1.32,-0.47,0.28,-3.49,,-4.07,15.3,-5.34,-5.32,,-6.39,-14.81,1.0,3.0,,CNY,2012
000613.SZ,-95.17,3.05,-1.15,-0.03,-0.69,,,-3.26,-2.08,-2.08,,-4.07,-2.7,2.0,5.0,,CNY,2012
000673.SZ,-1.06,9.11,0.0,7.28,30.3,31.07,,37.25,10.24,9.55,,-33.42,-12.52,2.0,3.0,,CNY,2012
000687.SZ,-0.3,-0.1,-0.01,0.72,-29.99,26.72,,-19.07,,,,-100.36,-46.65,3.0,3.0,,CNY,2012
000780.SZ,-14.6,3.64,0.02,0.0,-8.11,,,-2.73,-4.26,-4.26,,-9.13,-4.04,2.0,4.0,,CNY,2011
000835.SZ,-0.25,-0.11,0.0,0.74,-49.59,37.87,32.06,-16.91,,,,-758.18,-335.45,1.0,2.0,,CNY,2012
0008.HK,0.0,2.13,0.0,0.69,-100.0,-100.0,-100.0,7.33,5.36,5.32,100.0,,,,,,HKD,2013
0010.HK,3.07,0.16,0.01,0.03,3.54,-4.36,-7.27,2.97,4.37,4.37,,2.95,3.78,1.0,1.0,,HKD,2012
002013.SZ,40.38,2.88,2.21,2.32,9.41,12.73,12.05,11.41,15.15,14.81,,3.62,3.17,0.0,0.0,,CNY,2012
002147.SZ,1.0,3.56,0.01,19.79,19.83,87.49,42.38,24.46,-15.63,-13.05,,-15.2,-4.94,2.0,3.0,,CNY,2012
002270.KS,368.79,0.36,-3.63,-3.64,5.33,-17.39,-36.22,3.94,2.87,2.98,,3.08,4.99,1.0,1.0,,KRW,2012
002447.SZ,-3.0,1.13,0.03,1.89,-9.38,,,-11.17,-14.12,-13.86,,-51.75,-17.26,2.0,3.0,,CNY,2012
002464.SZ,0.23,4.91,0.0,0.8,-5.45,37.64,31.01,5.54,-30.73,-30.49,,-24.68,-1.77,2.0,3.0,,CNY,2012
002473.SZ,3.43,5.4,0.03,-0.12,-6.54,11.42,6.54,-10.21,-27.84,-27.87,,-55.83,-28.27,2.0,3.0,,CNY,2012
002499.SZ,-2.78,-11.54,0.01,-0.22,-10.65,,,-4.69,-27.18,-27.24,,-15.65,-5.83,2.0,3.0,,CNY,2012
0024.HK,0.0,0.0,,2.16,-25.85,-35.45,-37.11,-35.74,,,,0.59,-5.1,1.0,5.0,,HKD,2010
002618.SZ,-3.15,0.75,-0.04,1.66,-7.89,,,2.61,0.62,0.61,,-15.48,-5.52,2.0,2.0,,CNY,2012
002619.SZ,-0.82,0.48,-0.02,17.11,-6.87,,,11.91,15.06,12.86,,-42.11,-10.51,2.0,2.0,,CNY,2011
