GrPetYear,pe,shr,rvn,opInm,eps,tAssts,tEqu,bvps,ROtA,5meanROtA,cur,old
000001.SZ,5.39,4.31,14.75,-100.0,8.27,12.18,16.25,15.58,0.86,0.73,CNY,2013
000002.SZ,4.29,0.55,15.72,8.87,10.04,15.53,13.62,13.55,2.16,2.38,CNY,2013
000004.SZ,-3.66,6.36,9.63,0.0,90.53,10.09,18.51,17.41,-108.18,-21.09,CNY,2013
000005.SZ,-8.4,1.64,20.73,6.67,13.95,9.1,7.66,7.53,-6.35,2.09,CNY,2013
000006.SZ,16.34,0.0,-2.42,0.83,-5.5,11.43,7.58,7.58,1.59,5.33,CNY,2013
000007.SZ,-613.0,-2.82,0.33,0.0,0.0,-6.64,-13.87,-14.27,-1.79,-32.76,CNY,2013
000008.SZ,-7.84,7.58,21.62,0.0,0.0,37.83,25.58,23.77,-10.18,0.01,CNY,2013
000009.SZ,12.38,0.44,25.48,36.66,26.19,16.13,12.35,12.3,4.9,2.04,CNY,2013
000010.SZ,-3.39,5.25,6.02,5.12,0.0,15.02,1.44,1.37,-19.41,-15.65,CNY,2013
000011.SZ,17.12,-0.0,9.65,6.83,6.64,16.91,10.46,10.46,3.41,8.55,CNY,2013
000012.SZ,8.94,0.24,7.8,6.86,2.94,6.2,4.84,4.83,8.35,3.99,CNY,2013
000014.SZ,6.89,2.02,3.42,21.16,24.57,5.21,7.51,7.36,8.32,5.79,CNY,2013
000016.SZ,-6.59,-0.0,4.45,4.33,0.0,10.29,7.22,7.22,-4.8,0.72,CNY,2013
000017.SZ,-595.75,0.68,5.65,0.0,0.0,11.3,51.25,50.91,-2.01,-2.55,CNY,2013
000019.SZ,22.36,9.8,38.67,0.0,16.96,21.02,19.47,17.73,6.14,5.55,CNY,2013
000020.KS,10.57,-0.1,4.96,42.37,39.84,4.28,5.39,5.39,4.58,3.47,KRW,2013
000020.SZ,317.83,-0.02,0.65,4.95,0.0,-2.02,2.89,2.89,1.77,0.85,CNY,2013
000021.SZ,59.69,1.67,0.77,0.0,10.5,8.16,8.74,8.6,2.42,3.27,CNY,2013
000023.SZ,-3.59,-0.0,-11.31,0.0,0.0,1.33,-9.69,-9.69,-18.88,-0.93,CNY,2013
000025.SZ,104.14,3.38,6.22,15.87,27.34,13.73,25.76,24.92,3.83,6.08,CNY,2013
000026.SZ,17.54,0.65,3.83,3.25,7.6,1.63,8.25,8.2,6.53,6.02,CNY,2013
000027.SZ,16.28,4.92,13.14,12.97,1.2,17.38,12.26,11.68,1.83,1.5,CNY,2013
000028.SZ,10.51,4.53,14.8,12.34,7.5,16.17,24.06,23.02,3.79,4.12,CNY,2013
000029.SZ,-230.61,0.0,-12.53,-3.53,-4.43,3.39,8.87,8.87,2.7,8.82,CNY,2013
000030.SZ,16.33,-0.0,10.24,9.23,-0.89,8.86,7.82,7.82,3.43,7.03,CNY,2013
000031.SZ,-6.58,9.88,16.29,12.45,0.0,20.31,6.19,5.63,-1.05,1.11,CNY,2013
000032.SZ,53.14,18.11,46.67,52.32,38.62,48.54,22.81,19.31,1.38,5.03,CNY,2013
000034.SZ,17.56,7.52,81.84,98.21,46.66,67.95,60.75,56.5,2.57,2.19,CNY,2013
000035.SZ,85.69,23.2,76.22,0.0,-36.54,138.9,110.89,90.01,0.96,3.27,CNY,2013
000036.SZ,10.55,0.31,32.0,53.16,24.76,9.16,12.26,12.22,6.49,7.8,CNY,2013
000037.SZ,-58.23,0.24,-5.09,-12.58,0.0,-7.85,-1.06,-1.05,-7.17,-1.91,CNY,2013
000038.SZ,2.11,14.51,30.47,22.85,0.0,18.91,34.4,30.04,0.0,-61.21,CNY,2012
000039.SZ,13.75,6.41,10.45,9.74,2.46,8.06,7.91,7.44,3.31,2.65,CNY,2013
000040.KS,-2.97,19.13,1.82,3.2,-8.87,2.74,-5.91,-4.96,-8.76,-15.45,KRW,2013
000040.SZ,-26.47,13.7,15.73,15.34,0.0,22.97,27.53,24.21,-1.24,0.92,CNY,2013
000042.SZ,464.14,3.71,13.8,10.97,-36.86,18.44,11.41,11.0,0.02,0.81,CNY,2013
000045.SZ,56.34,1.15,10.76,0.0,8.59,7.82,2.42,2.39,2.01,0.04,CNY,2013
000046.SZ,-0.37,1.47,9.0,-8.63,0.0,11.12,0.0,0.0,-12.82,-2.43,CNY,2013
000048.SZ,4.69,0.01,16.09,0.0,0.0,33.18,23.15,23.14,4.42,8.46,CNY,2013
000049.SZ,13.51,0.09,19.42,12.54,17.21,15.69,25.38,25.36,7.1,5.75,CNY,2013
000050.KS,-16.56,0.54,1.28,-7.37,-12.91,-0.42,1.92,1.91,0.35,1.58,KRW,2013
000050.SZ,-36.37,16.01,24.05,20.38,-16.1,29.37,39.67,34.2,0.14,1.51,CNY,2013
000055.SZ,15.64,3.79,9.16,16.38,10.03,19.32,19.46,18.75,2.23,13.78,CNY,2013
000056.SZ,-3.54,3.94,38.53,0.0,0.0,2.94,-0.7,-0.67,-12.15,-2.17,CNY,2013
000058.SZ,317.17,5.14,12.42,9.13,-8.05,10.67,4.93,4.69,0.77,0.66,CNY,2013
000059.SZ,-51.64,3.26,1.86,10.21,0.0,1.54,8.08,7.82,1.68,2.97,CNY,2013
000060.KS,8.33,2.32,9.17,16.73,12.99,13.78,11.45,11.19,0.0,1.34,KRW,2012
000060.SZ,15.62,3.79,11.31,13.04,10.59,9.48,9.85,9.49,4.41,5.3,CNY,2013
000063.SZ,24.21,1.38,5.61,28.35,20.26,6.8,11.21,11.06,4.72,-1.91,CNY,2013
000065.SZ,19.98,6.2,18.31,24.07,10.44,20.96,28.71,27.04,3.11,5.31,CNY,2013
000066.SZ,-4598.82,10.02,-17.34,0.0,13.99,-1.62,19.83,18.03,0.69,4.96,CNY,2013
000068.SZ,-12.33,1.3,4.88,3.64,20.96,24.69,-14.95,-14.76,-5.56,-3.81,CNY,2013
000069.SZ,-2.76,1.35,11.79,1.0,0.0,18.11,12.5,12.33,-3.35,2.65,CNY,2013
000070.KS,6.51,0.83,4.01,55.62,0.0,6.43,3.69,3.66,2.53,2.8,KRW,2013
000070.SZ,237.17,1.53,11.51,15.15,-2.92,14.91,6.48,6.38,0.75,2.26,CNY,2013
000075.KS,4.95,0.83,4.01,55.62,0.0,6.43,3.69,3.66,2.53,2.8,KRW,2013
000078.SZ,-8.9,4.44,18.86,14.92,0.0,18.25,13.32,12.75,-2.92,0.64,CNY,2013
000080.KS,20.19,0.49,3.1,1.89,0.75,-0.71,-1.93,-1.92,2.73,1.03,KRW,2013
000087.KS,15.78,0.49,3.1,1.89,0.75,-0.71,-1.93,-1.92,2.73,1.03,KRW,2013
000088.SZ,21.94,0.7,11.16,17.93,0.94,12.71,7.99,7.93,2.96,3.94,CNY,2013
000089.SZ,-15.55,0.28,0.53,0.0,0.0,8.7,3.57,3.56,-4.54,3.03,CNY,2013
000090.SZ,7.54,5.82,21.72,27.03,13.37,24.27,16.91,15.98,2.88,2.71,CNY,2013
000096.SZ,74.89,0.27,10.31,0.0,-2.87,3.33,3.73,3.72,2.16,4.05,CNY,2013
000099.SZ,44.51,4.37,4.72,4.96,-4.29,5.96,8.17,7.82,3.05,3.07,CNY,2013
000100.KS,41.62,0.98,7.28,6.22,0.29,5.6,5.48,5.43,4.07,3.47,KRW,2013
000100.SZ,-165.52,6.93,7.7,21.99,-7.77,18.51,15.21,14.23,0.54,2.12,CNY,2013
000105.KS,38.96,19.88,7.28,6.22,-15.84,5.6,5.48,4.57,4.07,3.47,KRW,2013
