GrPetYear,pe,pb,peg,shr,revenue,opInm,eps,Assets,Equity,bvps,ROtA,5ROtA,10ROtA,bad5y,bad10y,Industrial,cur,old
000001.SZ,5.32,0.56,0.2,4.31,14.75,-100.0,8.27,12.18,16.25,15.58,0.86,0.74,0.78,0,0,,CNY,2013
000002.SZ,4.26,0.65,-3.5,0.55,15.72,8.87,10.04,15.53,13.62,13.55,2.16,2.55,2.69,0,0,,CNY,2013
000004.SZ,-3.82,6.54,0.13,6.36,9.63,0.0,90.53,10.09,18.51,17.41,-108.18,-36.41,-15.77,2,2,,CNY,2013
000005.SZ,-8.2,1.12,0.04,1.64,20.73,6.67,13.95,9.1,7.66,7.53,-6.35,-1.08,-0.33,2,4,,CNY,2013
000006.SZ,16.6,0.76,-0.74,0.0,-2.42,0.83,-5.5,11.43,7.58,7.58,1.59,4.21,4.77,1,2,,CNY,2013
000007.SZ,-605.16,17.01,5.06,-2.82,0.33,0.0,0.0,-6.64,-13.87,-14.27,-1.79,-14.61,-4.97,2,3,,CNY,2013
000008.SZ,-7.84,1.49,-0.18,7.58,21.62,0.0,0.0,37.83,25.58,23.77,-10.18,-4.89,1.12,3,3,,CNY,2013
000009.SZ,12.14,3.2,0.29,0.44,25.48,36.66,26.19,16.13,12.35,12.3,4.9,3.33,2.73,1,3,,CNY,2013
000010.SZ,-3.34,3.58,0.0,5.25,6.02,5.12,0.0,15.02,1.44,1.37,-19.41,-7.41,-7.85,2,4,,CNY,2013
000011.SZ,17.33,1.28,-0.36,-0.0,9.65,6.83,6.64,16.91,10.46,10.46,3.41,6.92,7.42,1,2,,CNY,2013
000012.SZ,8.87,1.37,0.28,0.24,7.8,6.86,2.94,6.2,4.84,4.83,8.35,5.42,5.74,1,1,,CNY,2013
000014.SZ,7.1,2.11,0.02,2.02,3.42,21.16,24.57,5.21,7.51,7.36,8.32,3.97,2.86,3,2,,CNY,2013
000016.SZ,-6.7,1.47,0.02,-0.0,4.45,4.33,0.0,10.29,7.22,7.22,-4.8,0.13,1.45,1,5,,CNY,2013
000017.SZ,-602.54,10.53,1.93,0.68,5.65,0.0,0.0,11.3,51.25,50.91,-2.01,-2.88,108.01,4,9,,CNY,2013
000019.SZ,22.63,1.81,-8.37,9.8,38.67,0.0,16.96,21.02,19.47,17.73,6.14,5.87,3.43,0,3,,CNY,2013
000020.KS,10.36,0.75,0.75,-0.1,4.96,42.37,39.84,4.28,5.39,5.39,4.58,4.17,4.59,0,3,,KRW,2013
000020.SZ,384.85,11.39,9.4,-0.02,0.65,4.95,0.0,-2.02,2.89,2.89,1.77,1.13,0.58,0,3,,CNY,2013
000021.SZ,59.42,2.96,-3.37,1.67,0.77,0.0,10.5,8.16,8.74,8.6,2.42,2.99,2.43,0,0,,CNY,2013
000023.SZ,-3.47,7.6,0.0,-0.0,-11.31,0.0,0.0,1.33,-9.69,-9.69,-18.88,-3.0,-0.88,1,2,,CNY,2013
000025.SZ,100.74,4.93,-2.75,3.38,6.22,15.87,27.34,13.73,25.76,24.92,3.83,6.74,4.73,0,2,,CNY,2013
000026.SZ,17.39,1.52,-0.6,0.65,3.83,3.25,7.6,1.63,8.25,8.2,6.53,6.88,5.18,0,0,,CNY,2013
000027.SZ,16.53,0.82,-2.04,4.92,13.14,12.97,1.2,17.38,12.26,11.68,1.83,2.12,2.81,1,2,,CNY,2013
000028.SZ,10.25,0.99,0.23,4.53,14.8,12.34,7.5,16.17,24.06,23.02,3.79,3.87,4.61,0,0,,CNY,2013
000029.SZ,-232.09,2.79,7.29,0.0,-12.53,-3.53,-4.43,3.39,8.87,8.87,2.7,6.84,6.65,1,1,,CNY,2013
000030.SZ,16.36,1.13,-0.41,-0.0,10.24,9.23,-0.89,8.86,7.82,7.82,3.43,6.2,7.03,0,1,,CNY,2013
000031.SZ,-6.65,1.02,0.02,9.88,16.29,12.45,0.0,20.31,6.19,5.63,-1.05,0.69,0.98,1,2,,CNY,2013
000032.SZ,49.23,5.95,-1.13,18.11,46.67,52.32,38.62,48.54,22.81,19.31,1.38,4.45,3.3,1,3,,CNY,2013
000034.SZ,17.9,2.35,0.06,7.52,81.84,98.21,46.66,67.95,60.75,56.5,2.57,2.1,3.92,1,1,,CNY,2013
000035.SZ,85.69,1.05,-1.04,23.2,76.22,0.0,-36.54,138.9,110.89,90.01,0.96,2.86,1087.52,1,9,,CNY,2013
000036.SZ,10.58,1.14,0.22,0.31,32.0,53.16,24.76,9.16,12.26,12.22,6.49,6.7,6.65,0,3,,CNY,2013
000037.SZ,-63.68,5.68,-1.0,0.24,-5.09,-12.58,0.0,-7.85,-1.06,-1.05,-7.17,-4.41,-1.08,2,4,,CNY,2013
